中广热点, 这个中国广电的直播源本站长电信宽带测试并不是很流畅
  幸福彩HD, http: //cbnlive.cbchot.com/live/XingFuCaiHD_1.m3u8?123
  魅力音乐HD, http: //xiaojie.idc.idcml.cn/catv/zggd.php?t=193
  都市剧场HD, http: //cbnlive.cbchot.com/live/DuShiJCHD_1.m3u8?123
  欢笑剧场HD, http: //cbnlive.cbchot.com/live/ChannelMax_1.m3u8?123
  动漫秀场HD, http: //cbnlive.cbchot.com/live/DongManXCHD_1.m3u8?123
  上海纪实HD, http: //cbnlive.cbchot.com/live/yt_shanghaishiji_h_1.m3u8?123
  上海新闻综合HD, http: //cbnlive.cbchot.com/live/SHNewsHD_1.m3u8?123
  上海都市HD, http: //cbnlive.cbchot.com/live/DongFangYuLeHD_1.m3u8?123
  五星体育HD, http: //cbnlive.cbchot.com/live/SHSportHD_1.m3u8?123
  第一财经HD, http: //cbnlive.cbchot.com/live/ch132_1.m3u8?123
  游戏风云HD, http: //cbnlive.cbchot.com/live/YouXiFYHD_1.m3u8?123
  艺术人文, http: //cbnlive.cbchot.com/live/SHYiShu_1.m3u8?123
  哈哈炫动, http: //cbnlive.cbchot.com/live/TOONMAXTV_1.m3u8?123
  CCTV - 1, http: //cbnlive.cbchot.com/live/yt_cctv1_l_1.m3u8?123
  CCTV - 2 http: //cbnlive.cbchot.com/live/yt_cctv2_l_1.m3u8?123
  CCTV - 3, http: //cbnlive.cbchot.com/live/yt_cctv3_l_1.m3u8?123
  CCTV - 4, http: //cbnlive.cbchot.com/live/yt_cctv4_l_1.m3u8?123
  CCTV - 5, http: //cbnlive.cbchot.com/live/yt_cctv5_l_1.m3u8?123
  CCTV - 5 + , http: //cbnlive.cbchot.com/live/ty_cctv5)l_1.m3u8?123
  CCTV - 6, http: //cbnlive.cbchot.com/live/yt_cctv6_l_1.m3u8?123
  CCTV - 7, http: //cbnlive.cbchot.com/live/yt_cctv7_l_1.m3u8?123
  CCTV - 8, http: //cbnlive.cbchot.com/live/yt_cctv8_l_1.m3u8?123
  CCTV - 9, http: //cbnlive.cbchot.com/live/yt_cctv9_l_1.m3u8?123
  CCTV - 10, http: //cbnlive.cbchot.com/live/yt_cctv10_l_1.m3u8?123
  CCTV - 11, http: //cbnlive.cbchot.com/live/ch105_1.m3u8?123
  CCTV - 12, http: //cbnlive.cbchot.com/live/yt_cctv12_l_1.m3u8?123
  CCTV - 13, http: //cbnlive.cbchot.com/live/ch114_1.m3u8?123
  CCTV - 14, http: //cbnlive.cbchot.com/live/yt_cctv14_l_1.m3u8?123
  CCTV - 15, http: //cbnlive.cbchot.com/live/ch003_1.m3u8?123
  CETV - 1, http: //cbnlive.cbchot.com/live/ch044_1.m3u8?123
  CETV - 3, http: //cbnlive.cbchot.com/live/ch027_1.m3u8?123
  CETV - 4, http: //cbnlive.cbchot.com/live/ch084_1.m3u8?123
  CCTV娱乐, http: //cbnlive.cbchot.com/live/cctv6e_h_1.m3u8?123
  CCTV老故事, http: //cbnlive.cbchot.com/live/ch011_1.m3u8?123
  CETV早期教育, http: //cbnlive.cbchot.com/live/ch082_1.m3u8?123
  天津卫视, http: //cbnlive.cbchot.com/live/yt_tianjinweishi_l_1.m3u8?123
  广东卫视, http: //cbnlive.cbchot.com/live/yt_guangdongweishi_l_1.m3u8?123
  安多卫视, http: //cbnlive.cbchot.com/live/anduoweihsi_h_1.m3u8?123
  山西卫视, http: //cbnlive.cbchot.com/live/ch001_1.m3u8?123
  厦门卫视, http: //cbnlive.cbchot.com/live/ch031_1.m3u8?123
  海峡卫视, http: //cbnlive.cbchot.com/live/ch032_1.m3u8?123
  南方卫视, http: //cbnlive.cbchot.com/live/ch033_1.m3u8?123
  吉林卫视, http: //cbnlive.cbchot.com/live/ch034_1.m3u8?123
  云南卫视, http: //cbnlive.cbchot.com/live/ch035_1.m3u8?123
  延边卫视, http: //cbnlive.cbchot.com/live/ch036_1.m3u8?123
  旅游卫视, http: //cbnlive.cbchot.com/live/ch038_1.m3u8?123
  兵团卫视, http: //cbnlive.cbchot.com/live/ch042_1.m3u8?123
  农林卫视, http: //cbnlive.cbchot.com/live/ch061_1.m3u8?123
  宁夏卫视, http: //cbnlive.cbchot.com/live/ch062_1.m3u8?123
  陕西卫视, http: //cbnlive.cbchot.com/live/ch063_1.m3u8?123
  贵州卫视, http: //cbnlive.cbchot.com/live/ch064_1.m3u8?123
  青海卫视, http: //cbnlive.cbchot.com/live/ch066_1.m3u8?123
  河南卫视, http: //cbnlive.cbchot.com/live/ch086_1.m3u8?123
  河南卫视, http: //cbnlive.cbchot.com/live/henanweishi_l_1.m3u8?123
  河南卫视, http: //cbnlive.cbchot.com/live/henanweishi_h_1.m3u8?123
  新疆卫视, http: //cbnlive.cbchot.com/live/ch091_1.m3u8?123
  内蒙古卫视, http: //cbnlive.cbchot.com/live/ch069_1.m3u8?123
  新动漫, http: //cbnlive.cbchot.com/live/ch047_1.m3u8?123
  优购物, http: //cbnlive.cbchot.com/live/ch009_1.m3u8?123
  高尔夫, http: //cbnlive.cbchot.com/live/ch078_1.m3u8?123
  新闻速递, http: //cbnlive.cbchot.com/live/xinwensuditest_1.m3u8?123
  央广健康, http: //cbnlive.cbchot.com/live/ch060_1.m3u8?123
  吉林篮球, http: //cbnlive.cbchot.com/live/ch070_1.m3u8?123
  网络棋牌, http: //cbnlive.cbchot.com/live/ch071_1.m3u8?123
  风尚购物, http: //cbnlive.cbchot.com/live/ch074_1.m3u8?123
  财富天下, http: //cbnlive.cbchot.com/live/ch075_1.m3u8?123
  游轮旅游, http: //cbnlive.cbchot.com/live/ch076_1.m3u8?123
  美食天府, http: //cbnlive.cbchot.com/live/ch077_1.m3u8?123
  中华美食, http: //cbnlive.cbchot.com/live/ch092_1.m3u8?123
  电子体育, http: //cbnlive.cbchot.com/live/ch095_1.m3u8?123
  环球奇观, http: //cbnlive.cbchot.com/live/ch098_1.m3u8?123
  摄影频道, http: //cbnlive.cbchot.com/live/ch100_1.m3u8?123
  彩民在线, http: //cbnlive.cbchot.com/live/ch101_1.m3u8?123
  家庭理财, http: //cbnlive.cbchot.com/live/ch121_1.m3u8?123
  好享购物, http: //cbnlive.cbchot.com/live/ch122_1.m3u8?123
  游戏竞技, http: //cbnlive.cbchot.com/live/ch006_1.m3u8?123
  书画频道, http: //cbnlive.cbchot.com/live/ch012_1.m3u8?123
  英语辅导, http: //cbnlive.cbchot.com/live/ch015_1.m3u8?123
  重庆汽摩, http: //cbnlive.cbchot.com/live/ch022_1.m3u8?123
  江苏综艺, http: //cbnlive.cbchot.com/live/ch123_1.m3u8?123
  江苏城市, http: //cbnlive.cbchot.com/live/ch124_1.m3u8?123
  江苏靓妆, http: //cbnlive.cbchot.com/live/ch019_1.m3u8?123
  海南青少, http: //cbnlive.cbchot.com/live/ch125_1.m3u8?123
  海南影视, http: //cbnlive.cbchot.com/live/ch126_1.m3u8?123
  海南公共, http: //cbnlive.cbchot.com/live/ch127_1.m3u8?123
  海南综合, http: //cbnlive.cbchot.com/live/ch128_1.m3u8?123
  陕西影视, http: //cbnlive.cbchot.com/live/ch129_1.m3u8?123
  陕西生活, http: //cbnlive.cbchot.com/live/ch130_1.m3u8?123
  陕西新闻, http: //cbnlive.cbchot.com/live/ch131_1.m3u8?123
  河南新闻频道, http: //cbnlive.cbchot.com/live/ch053_1.m3u8?123
  河南法治频道, http: //cbnlive.cbchot.com/live/ch055_1.m3u8?123
  河南武术世界, http: //cbnlive.cbchot.com/live/ch083_1.m3u8?123
  河南公共频道, http: //cbnlive.cbchot.com/live/ch025_1.m3u8?123
  河南欢腾购物, http: //cbnlive.cbchot.com/live/ch026_1.m3u8?123
  河南民生频道, http: //cbnlive.cbchot.com/live/ch102_1.m3u8?123
  河南都市频道, http: //cbnlive.cbchot.com/live/ch103_1.m3u8?123
  河南电视剧频道, http: //cbnlive.cbchot.com/live/ch054_1.m3u8?123
  河南新农村频道, http: //cbnlive.cbchot.com/live/ch023_1.m3u8?123
  西安新闻综合, http: //cbnlive.cbchot.com/live/xian1_h_1.m3u8?123
  西安丝路频道, http: //cbnlive.cbchot.com/live/xian5_h_1.m3u8?123
  湖南快乐垂钓, http: //cbnlive.cbchot.com/live/ch010_1.m3u8?123
  浙江留学世界, http: //cbnlive.cbchot.com/live/ch018_1.m3u8?123
  深圳DV生活, http: //cbnlive.cbchot.com/live/ch017_1.m3u8?123
  长春综合频道, http: //cbnlive.cbchot.com/live/cczh_h_1.m3u8?123
  安徽人物频道, http: //cbnlive.cbchot.com/live/ch057_1.m3u8?123
  中国气象频道, http: //cbnlive.cbchot.com/live/ch094_1.m3u8?123
  湖北休闲指南, http: //cbnlive.cbchot.com/live/ch096_1.m3u8?123
  百姓健康频道, http: //cbnlive.cbchot.com/live/ch097_1.m3u8?123
  内蒙古少儿频道, http: //cbnlive.cbchot.com/live/neimengshaoer_h_1.m3u8?123
  内蒙古文体娱乐, http: //cbnlive.cbchot.com/live/neimengwenti_h_1.m3u8?123
